date,ticker,direction,position_size,confidence,confidence_tier,can_trade,stop_loss_pct,take_profit_pct
2022-11-23,DIA,1.0,0.48791195133815146,0.6707450063880155,high,True,0.025,0.12
2022-11-23,QQQ,0.0,0.0,0.3980384234251318,low,False,0.025,0.12
2022-11-23,SPY,0.0,0.0,0.2843008537935518,low,False,0.025,0.12
2022-11-25,DIA,1.0,0.5161203624575209,0.7982011991496064,high,True,0.025,0.12
2022-11-25,QQQ,1.0,0.5489121197562175,0.9316395467242151,high,True,0.025,0.12
2022-11-25,SPY,1.0,0.5136546985545337,0.7876534215085778,high,True,0.025,0.12
2022-11-28,DIA,1.0,0.20960188831122498,0.5111479373415112,low,True,0.025,0.12
2022-11-28,QQQ,1.0,0.3071676501827214,0.6115513328573262,medium,True,0.025,0.12
2022-11-28,SPY,0.0,0.0,0.2513935030948051,low,False,0.025,0.12
2022-11-29,DIA,1.0,0.4803824404511712,0.633236535122015,high,True,0.025,0.12
2022-11-29,QQQ,1.0,0.2969008407109482,0.5328668532978291,medium,True,0.025,0.12
2022-11-29,SPY,1.0,0.30332785747775426,0.5836529513765442,medium,True,0.025,0.12
2022-11-30,DIA,1.0,0.2059424621958994,0.4566699560515367,low,True,0.025,0.12
2022-11-30,QQQ,1.0,0.2061440950595288,0.4600218717423019,low,True,0.025,0.12
2022-11-30,SPY,0.0,0.0,0.2563478305036084,low,False,0.025,0.12
2022-12-01,DIA,1.0,0.5003671911132034,0.7290758278122619,high,True,0.025,0.12
2022-12-01,QQQ,1.0,0.4896656960339211,0.6792090732176234,high,True,0.025,0.12
2022-12-01,SPY,1.0,0.20686499972490774,0.4715910077167471,low,True,0.025,0.12
2022-12-02,DIA,1.0,0.5129618358148818,0.7846730837139426,high,True,0.025,0.12
2022-12-02,QQQ,1.0,0.5285751105498763,0.850236873412682,high,True,0.025,0.12
2022-12-02,SPY,1.0,0.4882797274700253,0.6725277336794057,high,True,0.025,0.12
2022-12-05,DIA,0.0,0.0,0.29578574716513345,low,False,0.025,0.12
